iter	Logloss
0	0.07932757411
1	0.008847126036
2	0.001884553531
3	0.0005937211918
4	0.0002597485846
5	0.0001437767217
6	0.0001024275933
7	8.573261001e-05
8	7.721537897e-05
9	6.921150635e-05
10	5.651634169e-05
11	5.64828117e-05
12	5.650418771e-05
13	5.649090195e-05
14	5.643431918e-05
15	5.64177355e-05
16	5.64139944e-05
17	5.641589081e-05
18	5.641535474e-05
19	5.641535474e-05
20	5.641535474e-05
21	5.641535474e-05
22	5.641535474e-05
23	5.641535474e-05
24	5.641535474e-05
25	5.641535474e-05
26	5.641535474e-05
27	5.641535474e-05
28	5.641535474e-05
29	5.641535474e-05
30	5.641535474e-05
31	5.641535474e-05
32	5.641535474e-05
33	5.641535474e-05
34	5.641535474e-05
35	5.641535474e-05
36	5.641535474e-05
37	5.641535474e-05
38	5.641535474e-05
39	5.641535474e-05
40	5.641535474e-05
41	5.641535474e-05
42	5.641535474e-05
43	5.641535474e-05
44	5.641535474e-05
45	5.641535474e-05
46	5.641535474e-05
47	5.641535474e-05
48	5.641535474e-05
49	5.641535474e-05
50	5.641535474e-05
51	5.641535474e-05
52	5.641535474e-05
53	5.641535474e-05
54	5.641535474e-05
55	5.641535474e-05
56	5.641535474e-05
57	5.641535474e-05
58	5.641535474e-05
59	5.641535474e-05
60	5.641535474e-05
61	5.641535474e-05
62	5.641535474e-05
63	5.641535474e-05
64	5.641535474e-05
65	5.641535474e-05
66	5.641535474e-05
67	5.641535474e-05
68	5.641535474e-05
69	5.641535474e-05
70	5.641535474e-05
71	5.641535474e-05
72	5.641535474e-05
73	5.641535474e-05
74	5.641535474e-05
75	5.641535474e-05
76	5.641535474e-05
77	5.641535474e-05
78	5.641535474e-05
79	5.641535474e-05
80	5.641535474e-05
81	5.641535474e-05
82	5.641535474e-05
83	5.641535474e-05
84	5.641535474e-05
85	5.641535474e-05
86	5.641535474e-05
87	5.641535474e-05
88	5.641535474e-05
89	5.641535474e-05
90	5.641535474e-05
91	5.641535474e-05
92	5.641535474e-05
93	5.641535474e-05
94	5.641535474e-05
95	5.641535474e-05
96	5.641535474e-05
97	5.641535474e-05
98	5.641535474e-05
99	5.641535474e-05
100	5.641535474e-05
101	5.641535474e-05
102	5.641535474e-05
103	5.641535474e-05
104	5.641535474e-05
105	5.641535474e-05
106	5.641535474e-05
107	5.641535474e-05
108	5.641535474e-05
109	5.641535474e-05
110	5.641535474e-05
111	5.641535474e-05
112	5.641535474e-05
113	5.641535474e-05
114	5.641535474e-05
115	5.641535474e-05
116	5.641535474e-05
117	5.641535474e-05
118	5.641535474e-05
119	5.641535474e-05
120	5.641535474e-05
121	5.641535474e-05
122	5.641535474e-05
123	5.641535474e-05
124	5.641535474e-05
125	5.641535474e-05
126	5.641535474e-05
127	5.641535474e-05
128	5.641535474e-05
129	5.641535474e-05
130	5.641535474e-05
131	5.641535474e-05
132	5.641535474e-05
133	5.641535474e-05
134	5.641535474e-05
135	5.641535474e-05
136	5.641535474e-05
137	5.641535474e-05
138	5.641535474e-05
139	5.641535474e-05
140	5.641535474e-05
141	5.641535474e-05
142	5.641535474e-05
143	5.641535474e-05
144	5.641535474e-05
145	5.641535474e-05
146	5.641535474e-05
147	5.641535474e-05
148	5.641535474e-05
149	5.641535474e-05
150	5.641535474e-05
151	5.641535474e-05
152	5.641535474e-05
153	5.641535474e-05
154	5.641535474e-05
155	5.641535474e-05
156	5.641535474e-05
157	5.641535474e-05
158	5.641535474e-05
159	5.641535474e-05
160	5.641535474e-05
161	5.641535474e-05
162	5.641535474e-05
163	5.641535474e-05
164	5.641535474e-05
165	5.641535474e-05
166	5.641535474e-05
167	5.641535474e-05
168	5.641535474e-05
169	5.641535474e-05
170	5.641535474e-05
171	5.641535474e-05
172	5.641535474e-05
173	5.641535474e-05
174	5.641535474e-05
175	5.641535474e-05
176	5.641535474e-05
177	5.641535474e-05
178	5.641535474e-05
179	5.641535474e-05
180	5.641535474e-05
181	5.641535474e-05
182	5.641535474e-05
183	5.641535474e-05
184	5.641535474e-05
185	5.641535474e-05
186	5.641535474e-05
187	5.641535474e-05
188	5.641535474e-05
189	5.641535474e-05
190	5.641535474e-05
191	5.641535474e-05
192	5.641535474e-05
193	5.641535474e-05
194	5.641535474e-05
195	5.641535474e-05
196	5.641535474e-05
197	5.641535474e-05
198	5.641535474e-05
199	5.641535474e-05
